ROUTE,RouteName,RouteGroup
1,1,1
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
191,19L,19L
2,2,2
20,20,20x
21,21,20x
22,22,20x
24,24,20x
26,26,26x
27,27,26x
281,28X,28X
29,29,29
31,31,31
36,36,36
38,38,38
39,39,39
4,4,4
40,40,40
41,41,41
43,43,43
44,44,44
48,48,48
51,51,51
511,51L,51L
521,52L,52L
53,53,53
531,53L,53L
54,54,54
55,55,55
56,56,56x
57,57,56x
58,58,58
59,59,59
6,6,6
60,60,60
611,61A,61x
612,61B,61x
613,61C,61x
614,61D,61x
64,64,64
65,65,65
67,67,67x
68,68,68
69,69,67x
7,7,7
71,71,71
711,71A,71x
712,71B,71x
713,71C,71x
714,71D,71x
74,74,74
75,75,75
77,77,77
78,78,78
79,79,79
8,8,8
81,81,81
82,82,82
83,83,83
86,86,86
87,87,87
88,88,88
89,89,89
91,91,91
93,93,93
900,G2,G2
903,G3,G3x
931,G31,G3x
801,O1,Ox
812,O12,Ox
805,O5,Ox
444,P1,P1
910,P10,P1x
912,P12,P1x
913,P13,P1x
716,P16,P1x
717,P17,P1x
555,P2,P1x
666,P3,P3
767,P67,P1x
768,P68,P1x
769,P69,P1x
907,P7,P1x
771,P71,P1x
776,P76,P1x
978,P78,P1x
401,Y1,Yx
445,Y45,Yx
946,Y46,Yx
947,Y47,Yx
949,Y49,Yx
